date,region,products,sales
2025-01-25,East,iWatch,166
2025-03-06,Central,iPad,879
2025-07-08,South,AirPods,730
2025-03-28,North,iWatch,291
2025-02-19,West,Macbook,530
2025-06-22,West,AirPods,885
2025-04-06,South,iPad,921
2025-03-19,South,iWatch,798
2025-06-09,Central,iPad,920
2025-02-13,West,AirPods,283
2025-05-10,Central,Macbook,280
2025-06-21,East,Macbook,874
2025-05-14,South,iPhone,227
2025-02-26,North,iWatch,272
2025-02-15,East,iPad,903
2025-06-17,South,AirPods,945
2025-07-04,East,iWatch,400
2025-06-01,East,iWatch,861
2025-02-28,East,iPad,789
2025-07-11,North,iWatch,617
2025-01-27,West,Macbook,769
2025-06-23,Central,Macbook,740
2025-02-04,North,Macbook,657
2025-06-20,Central,iPhone,229
2025-04-11,East,iPhone,257
2025-06-17,Central,iWatch,617
2025-02-14,Central,Macbook,182
2025-01-14,East,Macbook,367
2025-04-25,North,Macbook,511
2025-03-17,West,AirPods,338
2025-07-09,North,AirPods,712
2025-05-06,North,AirPods,403
2025-05-19,Central,AirPods,669
2025-04-02,Central,AirPods,276
2025-05-03,West,iPhone,901
2025-03-01,West,iPhone,841
2025-03-11,East,Macbook,475
2025-04-29,West,Macbook,417
2025-03-15,Central,iPad,657
2025-06-22,West,AirPods,683
2025-04-24,South,iPad,957
2025-06-30,Central,iPhone,195
2025-05-26,West,iWatch,644
2025-05-30,South,Macbook,859
2025-01-22,South,iWatch,782
2025-01-15,East,AirPods,338
2025-04-09,West,iPhone,866
2025-03-12,East,AirPods,196
2025-05-23,Central,iPad,177
2025-01-24,South,iWatch,128
2025-06-28,South,iPad,251
2025-04-19,North,Macbook,723
2025-02-26,Central,AirPods,580
2025-06-29,Central,iPad,793
2025-06-22,North,iPhone,782
2025-03-18,Central,iPad,950
2025-06-09,North,iPad,505
2025-01-13,East,AirPods,375
2025-02-12,North,iWatch,300
2025-06-15,South,iPhone,381
2025-04-22,West,AirPods,546
2025-05-30,East,Macbook,657
2025-04-07,West,iWatch,476
2025-07-10,North,iPhone,576
2025-03-25,South,iPad,764
2025-02-05,West,iPhone,674
2025-07-15,West,iPad,300
2025-05-04,Central,iPhone,788
2025-07-01,North,iPhone,657
2025-05-23,West,Macbook,421
2025-05-26,North,Macbook,399
2025-05-30,North,AirPods,375
2025-03-20,South,iPhone,519
2025-04-30,Central,iPad,336
2025-05-07,South,AirPods,787
2025-04-27,South,iWatch,835
2025-03-28,West,AirPods,350
2025-02-14,South,Macbook,371
2025-06-06,North,AirPods,937
2025-06-19,West,Macbook,388
2025-05-27,South,AirPods,606
2025-03-19,East,iPhone,876
2025-04-04,North,iPad,422
2025-04-25,Central,iPad,364
2025-03-28,West,AirPods,208
2025-05-18,West,iPhone,747
2025-04-02,East,iPhone,154
2025-05-29,Central,iPhone,373
2025-07-02,East,AirPods,876
2025-06-21,Central,iWatch,134
2025-05-15,Central,iWatch,794
2025-06-29,East,AirPods,600
2025-03-26,West,iPhone,857
2025-02-01,West,AirPods,940
2025-03-29,Central,AirPods,488
2025-06-10,East,AirPods,378
2025-07-08,West,AirPods,576
2025-01-24,Central,AirPods,352
2025-05-23,North,Macbook,353
2025-02-03,North,AirPods,132
2025-02-15,South,iPhone,867
2025-01-16,West,AirPods,213
2025-01-17,North,iPad,564
2025-05-03,East,iPhone,994
2025-04-10,West,Macbook,292
2025-04-21,West,iPhone,117
2025-06-26,Central,iWatch,258
2025-05-08,South,iPhone,922
2025-04-28,South,iWatch,130
2025-06-17,West,Macbook,896
2025-04-22,North,iWatch,138
2025-03-23,North,Macbook,829
2025-06-12,North,Macbook,358
2025-05-15,Central,AirPods,798
2025-04-15,East,iPad,129
2025-06-15,South,iPad,434
2025-01-27,East,AirPods,107
2025-01-06,South,Macbook,723
2025-04-02,East,AirPods,304
2025-05-02,North,Macbook,190
2025-06-06,Central,AirPods,707
2025-04-29,East,iPad,647
2025-01-09,South,iWatch,444
2025-02-10,Central,iPhone,300
2025-03-30,West,AirPods,837
2025-02-08,Central,iPhone,896
2025-05-20,East,iPhone,713
2025-06-14,Central,iPhone,370
2025-02-16,Central,iPad,152
2025-01-21,South,Macbook,709
2025-03-09,South,iPad,148
2025-01-12,South,iPhone,898
2025-02-16,Central,iPad,467
2025-04-01,West,iPhone,804
2025-04-13,West,AirPods,491
2025-06-13,North,iPhone,526
2025-01-18,Central,iPad,748
2025-05-25,North,iPad,883
2025-05-09,South,iPhone,217
2025-03-30,West,iPad,727
2025-01-23,East,iPhone,584
2025-02-17,South,iPhone,163
2025-03-23,Central,iPhone,779
2025-02-11,Central,iWatch,765
2025-04-06,South,iWatch,384
2025-02-15,North,iPhone,455
2025-05-21,East,iWatch,152
2025-04-26,East,Macbook,173
2025-03-08,East,Macbook,291
2025-04-10,West,Macbook,407
2025-05-24,East,iWatch,433
2025-01-27,Central,iWatch,796
2025-04-05,South,AirPods,112
2025-02-14,East,AirPods,877
2025-07-19,Central,iPhone,229
2025-03-26,North,iWatch,517
2025-01-01,South,iPhone,725
2025-05-05,South,iWatch,845
2025-06-17,Central,iPhone,977
2025-06-07,North,iPhone,182
2025-06-21,South,Macbook,884
2025-05-05,East,iPad,294
2025-03-07,Central,iPhone,999
2025-05-30,Central,iWatch,821
2025-01-22,West,iWatch,320
2025-05-01,North,iWatch,811
2025-02-27,Central,iPad,707
2025-04-06,North,iWatch,324
2025-03-02,North,iWatch,564
2025-06-23,Central,iWatch,974
2025-03-10,West,iWatch,778
2025-04-10,North,iWatch,177
2025-05-05,South,iPad,365
2025-05-25,West,iPhone,572
2025-02-28,South,Macbook,469
2025-01-19,East,iWatch,503
2025-01-13,East,iWatch,697
2025-02-25,West,iPad,125
2025-06-17,Central,iPad,709
2025-05-01,North,Macbook,386
2025-04-10,North,AirPods,930
2025-03-28,East,iPad,572
2025-03-22,North,AirPods,633
2025-05-02,Central,AirPods,454
2025-03-06,North,Macbook,401
2025-02-21,East,iPad,964
2025-04-03,Central,iWatch,713
2025-06-10,North,Macbook,961
2025-01-01,Central,iWatch,125
2025-02-25,West,iWatch,776
2025-05-10,North,Macbook,826
2025-07-17,North,iPhone,760
2025-02-03,East,AirPods,765
2025-01-24,Central,iPhone,934
2025-04-15,South,AirPods,315
2025-04-14,East,Macbook,644
2025-03-22,East,iPad,339
2025-02-21,South,iPad,554
2025-03-29,Central,iPhone,187
2025-03-31,Central,AirPods,905
2025-03-18,South,iWatch,930
2025-03-17,South,iPad,545
2025-01-27,East,iWatch,412
2025-01-10,North,iPad,227
2025-05-23,East,AirPods,261
2025-02-01,West,iPhone,161
2025-07-16,East,iPad,629
2025-02-09,South,Macbook,584
2025-03-05,South,iPad,263
2025-02-27,North,iPad,452
2025-05-09,South,AirPods,290
2025-04-17,Central,iWatch,457
2025-05-08,West,iWatch,312
2025-05-04,West,AirPods,175
2025-03-03,South,AirPods,114
2025-06-06,Central,iPad,159
2025-02-08,Central,iPad,313
2025-01-06,Central,iWatch,778
2025-03-13,South,iPad,565
2025-06-13,West,iPad,123
2025-03-12,North,iWatch,792
2025-03-16,South,iPhone,780
2025-02-03,Central,iWatch,665
2025-05-08,East,iWatch,622
2025-03-08,North,Macbook,853
2025-05-15,North,Macbook,686
2025-03-13,Central,Macbook,333
2025-05-28,Central,iPad,293
2025-04-07,South,iWatch,171
2025-05-12,North,iWatch,965
2025-06-27,South,AirPods,780
2025-01-02,West,iWatch,542
2025-02-14,Central,iPhone,194
2025-07-16,East,AirPods,413
2025-03-02,East,AirPods,341
2025-06-27,North,AirPods,555
2025-05-23,East,iPhone,361
2025-03-13,West,iPhone,374
2025-03-01,West,AirPods,830
2025-03-21,North,Macbook,168
2025-04-17,Central,iPad,323
2025-06-19,Central,iWatch,333
2025-01-04,West,Macbook,670
2025-04-27,South,iPhone,907
2025-03-10,South,AirPods,140
2025-04-24,West,iWatch,698
2025-01-28,North,iPad,117
2025-01-24,Central,iPad,473
2025-05-01,Central,Macbook,456
2025-02-01,South,Macbook,106
2025-01-16,East,Macbook,747
2025-03-26,Central,iPad,663
2025-07-18,North,iWatch,843
2025-03-09,West,iWatch,843
2025-01-19,West,AirPods,334
2025-04-08,North,iPhone,898
2025-06-03,South,iPhone,669
2025-06-01,West,iPhone,297
2025-05-24,East,iPhone,661
2025-05-23,West,Macbook,398
2025-03-04,North,iPad,818
2025-06-19,Central,iWatch,653
2025-05-25,Central,iPhone,154
2025-05-17,Central,iWatch,719
2025-07-13,South,iPhone,201
2025-02-20,Central,iPad,633
2025-02-12,Central,iPad,570
2025-02-28,Central,iPad,794
2025-04-01,East,AirPods,963
2025-02-05,West,iPhone,599
2025-05-09,Central,Macbook,513
2025-02-24,East,iPad,892
2025-07-16,East,AirPods,798
2025-07-17,Central,iPad,380
2025-03-22,North,iPad,950
2025-02-16,Central,Macbook,500
2025-02-24,Central,iWatch,469
2025-02-22,East,iPad,686
2025-05-04,West,Macbook,533
2025-06-09,East,iPad,231
2025-04-09,South,Macbook,313
2025-05-13,East,iPhone,989
2025-03-18,West,Macbook,932
2025-07-13,North,iPhone,735
2025-02-21,West,Macbook,760
2025-04-03,East,iWatch,189
2025-05-23,North,iPhone,907
2025-01-23,North,Macbook,340
2025-01-26,East,Macbook,214
2025-02-11,East,Macbook,366
2025-01-11,East,iPad,161
2025-01-10,Central,Macbook,735
2025-06-14,West,iPad,436
2025-03-31,North,iPhone,404
2025-07-17,East,iPad,949
2025-03-17,East,AirPods,714
2025-07-17,South,iPad,645
2025-05-22,Central,iWatch,891
2025-06-30,North,AirPods,782
2025-04-12,West,iWatch,714
2025-04-09,East,iWatch,468
2025-06-29,West,Macbook,639
2025-06-09,Central,Macbook,409
2025-06-04,West,iPad,976
2025-03-18,Central,iWatch,702
2025-04-28,East,iPhone,541
2025-04-20,North,iPad,986
2025-06-18,Central,AirPods,962
2025-03-21,Central,AirPods,277
2025-03-13,South,AirPods,741
2025-05-31,South,AirPods,158
2025-04-06,West,iPhone,640
2025-06-11,East,Macbook,979
2025-05-06,North,iWatch,857
2025-04-08,South,iWatch,101
2025-06-24,East,iWatch,473
2025-01-10,North,AirPods,473
2025-07-14,South,iPad,973
2025-05-15,North,iPhone,221
2025-03-25,East,iPad,611
2025-07-07,East,iPad,177
2025-07-16,North,Macbook,670
2025-01-21,North,AirPods,384
2025-06-14,West,Macbook,944
2025-06-19,Central,iPad,559
2025-07-15,Central,iPhone,812
2025-07-12,North,iWatch,474
2025-04-22,East,Macbook,367
2025-01-08,South,iPhone,910
2025-03-22,North,iPad,293
2025-02-17,South,iPhone,672
2025-02-07,South,Macbook,887
2025-04-21,South,iPad,746
2025-02-13,West,Macbook,925
2025-02-24,North,Macbook,213
2025-07-14,West,iWatch,573
2025-04-29,North,iPad,146
2025-03-01,South,iPhone,785
2025-01-07,East,iWatch,641
2025-04-10,South,iPhone,668
2025-05-13,West,Macbook,407
2025-05-08,South,AirPods,569
2025-02-02,North,iPad,119
2025-01-31,East,iPhone,792
2025-01-25,West,AirPods,917
2025-03-14,South,AirPods,792
2025-07-19,South,iPhone,472
2025-02-18,East,iPad,193
2025-06-21,Central,iPad,434
2025-03-01,East,iWatch,215
2025-06-30,Central,iPhone,723
2025-06-08,Central,iPhone,380
2025-05-03,North,iWatch,711
2025-06-05,East,AirPods,434
